Zeit,Typ,Dauer(min),ID
08.04 16:00,Backup posten,360,1
08.04 17:00,Aufsicht Camp,190,2
08.04 17:00,Aufsicht Camp,190,5
08.04 17:00,essen vorbereiten,90,4
08.04 17:00,essen vorbereiten,90,9
08.04 17:00,essen vorbereiten,90,10
08.04 17:00,essen vorbereiten,90,11
08.04 17:00,essen vorbereiten,90,12
08.04 17:00,essen vorbereiten,90,13
08.04 17:00,Infopoint,190,3
08.04 17:00,Infopoint,190,6
08.04 17:00,Infopoint,190,7
08.04 17:00,Infopoint,190,8
08.04 18:45,abwaschen ,45,14
08.04 18:45,abwaschen ,45,15
08.04 18:45,abwaschen ,45,16
08.04 18:45,abwaschen ,45,17
08.04 20:00,Aufsicht Camp,190,19
08.04 20:00,Aufsicht Camp,190,21
08.04 20:00,Infopoint,190,18
08.04 20:00,Infopoint,190,20
08.04 20:00,Infopoint,190,22
08.04 20:00,Infopoint,190,23
08.04 20:00,Infopoint,190,24
08.04 23:00,Backup posten,360,25
08.04 23:00,Nachtwache Camp,195,26
08.04 23:00,Nachtwache Camp,195,27
09.04 02:00,Nachtwache Camp,165,28
09.04 02:00,Nachtwache Camp,165,29
09.04 04:30,Nachtwache Camp,165,30
09.04 04:30,Nachtwache Camp,165,31
09.04 05:00,Backup posten,360,32
09.04 07:00,Aufsicht Camp,190,33
09.04 07:00,Aufsicht Camp,190,36
09.04 07:00,essen vorbereiten,90,35
09.04 07:00,essen vorbereiten,90,38
09.04 07:00,essen vorbereiten,90,39
09.04 07:00,essen vorbereiten,90,40
09.04 07:00,essen vorbereiten,90,41
09.04 07:00,essen vorbereiten,90,42
09.04 07:00,Infopoint,190,34
09.04 07:00,Infopoint,190,37
09.04 08:45,abwaschen ,45,43
09.04 08:45,abwaschen ,45,44
09.04 08:45,abwaschen ,45,45
09.04 08:45,abwaschen ,45,46
09.04. 09:30,Aufräumen,120,47
09.04. 09:30,Aufräumen,120,49
09.04. 09:30,Aufräumen,120,50
09.04. 09:30,Aufräumen,120,51
09.04. 09:30,Sanitäre Einrichtungen,60,48
09.04. 09:30,Sanitäre Einrichtungen,60,52
09.04. 09:30,Sanitäre Einrichtungen,60,53
09.04. 09:30,Sanitäre Einrichtungen,60,54
09.04. 09:30,Sanitäre Einrichtungen,60,55
09.04. 09:30,Sanitäre Einrichtungen,60,56
09.04. 09:30,Sanitäre Einrichtungen,60,57
09.04 10:00,Aufsicht Camp,190,58
09.04 10:00,Aufsicht Camp,190,60
09.04 10:00,Infopoint,190,59
09.04 10:00,Infopoint,190,61
09.04 11:00,Backup posten,360,62
09.04 11:00,essen vorbereiten,90,63
09.04 11:00,essen vorbereiten,90,64
09.04 11:00,essen vorbereiten,90,65
09.04 11:00,essen vorbereiten,90,66
09.04 11:00,essen vorbereiten,90,67
09.04 11:00,essen vorbereiten,90,68
09.04 12:45,abwaschen ,45,70
09.04 12:45,abwaschen ,45,73
09.04 12:45,abwaschen ,45,74
09.04 12:45,abwaschen ,45,75
09.04 12:45,Kiosk,120,69
09.04 12:45,Kiosk,120,71
09.04 12:45,Kiosk,120,72
09.04 13:00,Aufsicht Camp,190,76
09.04 13:00,Aufsicht Camp,190,78
09.04 13:00,Infopoint,190,77
09.04 13:00,Infopoint,190,79
09.04. 14:30,Sanitäre Einrichtungen,60,80
09.04. 14:30,Sanitäre Einrichtungen,60,81
09.04. 14:30,Sanitäre Einrichtungen,60,82
09.04. 14:30,Sanitäre Einrichtungen,60,83
09.04. 14:30,Sanitäre Einrichtungen,60,84
09.04. 14:30,Sanitäre Einrichtungen,60,85
09.04. 14:30,Sanitäre Einrichtungen,60,86
09.04 16:00,Aufsicht Camp,190,88
09.04 16:00,Aufsicht Camp,190,90
09.04 16:00,Backup posten,360,87
09.04 16:00,Infopoint,190,89
09.04 16:00,Infopoint,190,91
09.04 17:00,essen vorbereiten,90,92
09.04 17:00,essen vorbereiten,90,93
09.04 17:00,essen vorbereiten,90,94
09.04 17:00,essen vorbereiten,90,95
09.04 17:00,essen vorbereiten,90,96
09.04 17:00,essen vorbereiten,90,97
09.04 18:45,abwaschen ,45,98
09.04 18:45,abwaschen ,45,99
09.04 18:45,abwaschen ,45,100
09.04 18:45,abwaschen ,45,101
09.04 19:00,Aufsicht Camp,190,102
09.04 19:00,Aufsicht Camp,190,104
09.04 19:00,Infopoint,190,103
